name,begin,end,description
7816,0x40011C00,0x40011DFF,7861/UART2
crypto,0x40003200,0x400033FF,GPSEC
dma,0x40000400,0x400005FF,DMA
gpioa,0x40010C00,0x40010DFF,GPIOA
gpiob,0x40011200,0x400113FF,GPIOA
timer,0x40010E00,0x40010FFF,Timer
rsa,0x40002200,0x400028FF,RSA
i2c,0x40010000,0x400101FF,I2C
i2s,0x40011A00,0x40011BFF,I2S
pmu,0x40000600,0x400006FF,Power Managent Unit
pwm,0x40011800,0x400119FF,PWM
rst,0x40013C00,0x5FFFFFFF,Reset
rtc,0x40000600,0x400006FF,real time
spi,0x40000200,0x400002FF,SPI
uart0,0x40010800,0x400109FF,uart0
uart1,0x40010A00,0x40010BFF,uart1
watchdog,0x40011000,0x400111FF,Watch Dog